A0W1EAR7,San Vicente,Costa Rica
Y6TLFB87,Vejprnice,Czech Republic
DGU5MDU6,Setaka,Japan
5W3QJMUO,Simeykyne,Ukraine
Y36EGQV8,Maturín,Venezuela
ASSPPP5P,North York,Canada
CNUA5VGI,Shitang,China
DPM77N16,Archis,Armenia
COBXVNJ9,Borāzjān,Iran
QJW9LBM7,Klang,Malaysia
S1428E5C,Shipu,China
D37F7DDT,Lawa-an,Philippines
X5IDV4P4,Victoria,Grenada
LYVRKWOU,Chapultepec,Mexico
OBYEYH35,Sumberingin Kulon,Indonesia
9BKU89OS,Triandría,Greece
DZQ6Y4AY,Pereira,Portugal
9F3ER7EH,Quy Đạt,Vietnam
FMGMTJ6E,Yên Lập,Vietnam
TP1GS9D5,Tacoma,United States
WEXQAE3K,Shchelkovo,Russia
01NEET7T,Šoštanj,Slovenia
VEUGKRPO,Sentul,Indonesia
3X7W6U8S,Yinhe,China
UGZK2UGG,Izlake,Slovenia
6DM3WKSN,Greensboro,United States
LVTR0HOT,Jinjiahe,China
JTXXQZNN,Corrego Grande,Brazil
YM4QD6S0,Tamra,Israel
G93RF425,Boshkengash,Tajikistan
YVNF6DWX,Winong,Indonesia
76UZQ77W,Buikwe,Uganda
LOMDKZJV,Tangyu,China
C3CKKMPV,Nagqu,China
MLS81WCE,Drammen,Norway
Z2A96XBM,Paris 10,France
H2W4DUP2,Mwense,Zambia
IO9SGJK1,Kilinochchi,Sri Lanka
OXT8XECD,Medalem,Indonesia
6RKH9TWT,Kairouan,Tunisia
FURLI9OA,Coromoro,Colombia
3N6LLOOS,Noyemberyan,Armenia
4PY93OS0,Muhos,Finland
43M4CM71,Tongquan,China
8VVQJ6CY,Malusac,Philippines
T5RAY86V,Almenara,Brazil
O40PY049,Kainan,Japan
35B0PTJS,Dhankutā,Nepal
ZOQCJ6XV,Xianshuigu,China
HT4K8UR3,Fushan,China
6IVUCA6R,Si Thep,Thailand
9I38ILQ7,Lopatinskiy,Russia
2K1084BK,Himeville,South Africa
35LVY5UW,Tomigusuku,Japan
HE3H88PS,Wuyang,China
QCJBBP36,Qiandeng,China
2TQP66F2,Vila,Portugal
MSG748BC,Ngozi,Burundi
LLB3HETS,Esperanza,Philippines
6MNV285O,Krasiczyn,Poland
1DOTX494,Oromocto,Canada
PMGF0UNK,Shangde,China
MNLEVPY4,Segodim,Portugal
NPUPMM2F,Morazán,Guatemala
UU816E0K,Rondonópolis,Brazil
Y1J9EYBI,Tangzhai,China
2OIYUDH8,Abdurahmoni Jomí,Tajikistan
B1DIWYBX,Puerto Esperanza,Argentina
MDTQ60VC,Saryözek,Kazakhstan
3TW16BAW,Znojmo,Czech Republic
7YT72OZO,Tsul-Ulaan,Mongolia
EMC8ZDSA,Sumberagung,Indonesia
RRAENZ53,Placer,Philippines
G56ZQ1E4,Buenaventura,Colombia
P23BFRS0,Falun,Sweden
EPM47GEA,Sri Jayewardenepura Kotte,Sri Lanka
3A44U8WT,Guanagazapa,Guatemala
2XL12PCQ,Spånga,Sweden
3WJ0LLTV,Koatas Lao,Indonesia
T1YHEM4J,Salekhard,Russia
Q604IKB9,Tiguion,Philippines
DWFPW2QJ,Uddevalla,Sweden
SFAGCQ8W,Lingdong,China
S37FAPC2,Vimmerby,Sweden
T7PFA54A,Sindangbarang,Indonesia
D5W67IK3,Gōtsuchō,Japan
1N6HNGDW,Krouna,Czech Republic
IPRO3LW3,Toride,Japan
MRMDZR91,Huadi,China
PF75GZP2,Rumyantsevo,Russia
ETHLU0IU,Pilcuyo,Peru
56LSRGOX,Psáry,Czech Republic
IATX5MC4,Hoopstad,South Africa
O850WAP9,Steinkjer,Norway
RAUV1NWS,Malabor,Philippines
VWK1QDCL,Irbid,Jordan
DFR0G7TL,Balauring,Indonesia
JHEN1LK4,Duri,Indonesia
A5RYBDXO,Akron,United States
UOOA0APM,Setun’,Russia
MW74H8MT,Stepnogorsk,Kazakhstan
M1H0N1MO,Huinca Renancó,Argentina
SH2T81T9,Calvão,Portugal
EK8X6QG5,Néa Róda,Greece
FLRS6DOU,Montelíbano,Colombia
R1G3ECPZ,Huji,China
7PR0S4XN,Beckerich,Luxembourg
YV62VNMB,Cibaregbeg Dua,Indonesia
J729SFZJ,Maying,China
O78U210R,Pokrov,Russia
QESRM22Q,Baraçais,Portugal
YCAQAX1M,Petropavlovka,Russia
1DG6LGMO,Rengasdengklok,Indonesia
S25QQZZJ,Tuanjie,China
EYDBQEVI,Tulsīpur,Nepal
GF4T86LD,Buzen,Japan
5VOIR88H,Namp’o,North Korea
6XD3PC7D,Nouna,Burkina Faso
JRDGJB3H,Manoc-Manoc,Philippines
FTBP6GSQ,Shuanglong,China
M14OJE89,Frakulla e Madhe,Albania
MYAL8I5O,Topeka,United States
NN6R5JKL,Ghayl Bā Wazīr,Yemen
9Z7JFP7P,Youyang,China
V4FSBIMF,Nanxing,China
1RSXJZ0S,Bartica,Guyana
P1CCUXQ3,Talshand,Mongolia
4Q68IH33,Weiyanggong,China
CYU9Q6BP,Pradera,Colombia
95MLMEBV,Farranacoush,Ireland
0UQY9BPO,Dimitrovgrad,Bulgaria
1REUQ5V8,Jiangdianzi,China
O345ITG3,Lons-le-Saunier,France
ZK7NDLLX,Dāngām,Afghanistan
MVXRDLYQ,Ölgiy,Mongolia
K7IAN904,Altanbulag,Mongolia
UP85NB7P,Newmarket,Canada
FHC9E8XI,Daruoyan,China
DVKEI8JZ,Kedungringin,Indonesia
OY45FUP2,Heshe,China
EL53YSMX,Nggelok,Indonesia
BST8RXZ5,Bardīyah,Libya
43FFQ23Y,Bertoua,Cameroon
QT17C5H6,L-Iklin,Malta
D1KLFVDZ,Mizhuang,China
VK6SZC0X,Xinfeng,China
E5N2QM51,Neiguan,China
OA84SBCM,Ongkharak,Thailand
8KR0F9H2,Mariestad,Sweden
Y3QG61N8,San Isidro,Mexico
N30HVBPD,Chingas,Peru
7CNB23UX,Sosándra,Greece
7142GSWT,Wonosari,Indonesia
ZE2YZXYG,Lautaro,Chile
DQGOEIEW,Zbąszyń,Poland
1VVVEFO5,Ponggeok,Indonesia
7S5Q8CCX,Kuilehe,China
759LZU46,Xiaoshanzi,China
IUOX3V1C,Ronneby,Sweden
42RM29W8,Strážná,Czech Republic
URNOBD7E,Yamada,Japan
V2D3GTLY,Phước An,Vietnam
LHMS9CQE,Karangtengah,Indonesia
W5UFMP0L,Žitenice,Czech Republic
QO1H3HQ2,Richards Bay,South Africa
OXAGY820,Gudermes,Russia
N1GAT99K,Baikui,China
KKJZ91AU,Belyayevka,Russia
38VM9P7F,Al Qadmūs,Syria
OFCG38XO,Perené,Peru
8IPVYI2L,Yasothon,Thailand
9MQAQK9B,Logan Lake,Canada
YKXEENU8,Ta’erqi,China
Y7RBSHGQ,Eixo,Portugal
BH1W95JN,Strasbourg,France
Y02GCHGO,Fusheng,China
H5C9TSRE,Puerto Ayacucho,Venezuela
HRYS8RG0,Itaperuna,Brazil
GO63VYW9,Caobi,China
UZAG8TZY,Izbicko,Poland
Z51GKHXE,Tipaz,Philippines
D38YKJQR,Guruyan,Philippines
UJAZ9HSC,Fīrūzābād,Iran
U74CM6LJ,Puerto Boyacá,Colombia
V1AAWU97,Wulijie,China
WODC6S7N,Eaton,United Kingdom
JRRPSVO9,East Migpulao,Philippines
1XQ54K8C,Lapaz,Philippines
FC96WMEE,Liboro,Philippines
3KC5MYYX,Xiamujiao,China
70SI02I9,Charleston,United States
8UA1A43L,Coaldale,Canada
UWUSWKSP,Manalu,Indonesia
5YIKI5KC,Milot,Haiti
CRNY6KRN,Asahbadung,Indonesia
EAJPP1L1,Riang Tengah,Indonesia
6SW5TT3E,Zakliczyn,Poland
SZJ13O3S,Cova Figueira,Cape Verde
SUSS6H1M,Cayungnan,Philippines
IW4ZBZW4,Ciparay,Indonesia
J9P6S9GE,Cravinhos,Brazil
4R8QE1IK,Longhe,China
RPBSL2H7,Port-Cartier,Canada
54PC1HRX,Pondokunyur,Indonesia
SNW3B4GN,Mazamet,France
PAUHCU8F,Bibai,Japan
FYQSFCMT,Lin’an,China
PL604TW7,Lenger,Kazakhstan
K19JPIZR,Xiliguantun,China
PFLMUPO5,Riachos,Portugal
XASBCZEF,Yuanzhou,China
BM1PIL40,Shiqiaotou,China
5PFIDX8X,Bourg-en-Bresse,France
1VG59XQG,Kratié,Cambodia
6X1KN9AK,Murça,Portugal
7JP2R29Z,Jīsh,Israel
17WL5GGS,Kumagaya,Japan
68J95PJJ,Fátima,Portugal
V3442DBG,Numan,Nigeria
WI33DV20,Campo Mourão,Brazil
KC6HQZM4,Rakaia,New Zealand
YL7NT7YL,Knin,Croatia
BNTI0M3A,Nurlat,Russia
E96V9J02,Šenčur,Slovenia
SQ35UC3L,Youguzhuang,China
HCPKOIL2,Glinojeck,Poland
2WT39F5V,Chengmen,China
EKZHEZHZ,Torez,Ukraine
ET3WUETX,Příbram,Czech Republic
6UCDXVUJ,General Pico,Argentina
85P1RURP,Issoudun,France
RFCN77AH,Bozoum,Central African Republic
A771DWBB,Suqiaoxiang,China
BRBJ5CLF,Pātan,Nepal
YKTND0RB,Grujugan,Indonesia
5W2OG54T,Guaçuí,Brazil
NK8AMW8P,Donglai,China
6M75DTKR,Zephyrhills,United States
DM2RAE0Y,Balingueo,Philippines
0MBRZTOE,Khurriānwāla,Pakistan
RDFPUBED,Agarsin,China
ISKDER07,Manga,Philippines
RNJFNGV6,Vapnyarka,Ukraine
V7W1CWU0,Zunilito,Guatemala
QQ8OARSA,Patrocínio,Brazil
WB9SZ6PM,Lomba,Portugal
7NB7IVVK,Adzopé,Ivory Coast
Q3TWQCDI,Huancarqui,Peru
2U569HQN,San Felipe,Chile
BRGW2NJO,Dobryanka,Russia
IH8ZMNKI,Medina,Brazil
5MU3H2K7,Koźle,Poland
VUEVBE3S,Pīr jo Goth,Pakistan
IJNQL6AO,Ylitornio,Finland
NMK1TSC7,Reston,United States
BVXB0YE8,Norrköping,Sweden
U2AFTCVQ,Bamusso,Cameroon
X12KDJ2C,Zhoujiang,China
9D966MFV,Cisadap,Indonesia
FLRPU27N,Changtang,China
0Y6DX7UX,Quế Sơn,Vietnam
ED1ANP4X,Sigayevo,Russia
NU4JU87T,Dhī Nā‘im,Yemen
9BSRZZ8Q,Shidu,China
SO2P1BBX,Anyar,Indonesia
1IYS9BQY,Mollepampa,Peru
23BYBF18,Maydolong,Philippines
5CNJYBRB,Chulabhorn,Thailand
WBXWTZS2,Langxi,China
1UV3MX5J,Saguenay,Canada
T40QURZ7,Munde,Indonesia
0L0TNDMU,Fernandópolis,Brazil
RXFGH9YY,Astara,Azerbaijan
BA2S8SMQ,Posse,Brazil
FESTEHP0,Betong,Thailand
05XVYJCT,Mahīn,Syria
QIGJROB5,Kebonagung,Indonesia
ADW8EVS8,Penelas,Portugal
LQLXP5AE,Anh Son,Vietnam
20MEARZ9,Jonava,Lithuania
O4YRLDBW,Mtwango,Tanzania
GMJKAUZO,Huangshi,China
JLMONN80,Sandefjord,Norway
R6302NAX,Otllak,Albania
N5J89R1U,Neiba,Dominican Republic
NCRMJLFO,Brazzaville,Republic of the Congo
8C35EJHL,Liantan,China
8EFRV1ZP,Jindou,China
X0H3Z8QS,Huizhou,China
EDF9PWLX,Skövde,Sweden
K78HZIQ9,Machagai,Argentina
5GR3KUU0,Lewotukan,Indonesia
W3C6A8DI,Si Somdet,Thailand
LDYNL45Q,Al Maşdūr,Tunisia
5Z27MIIK,Krajan Dua Putukrejo,Indonesia
Q0RGT3MS,Le Lamentin,Martinique
SHBW5332,Sumurasin,Indonesia
PGDAJCQY,Szamotuły,Poland
JOI8RA0Y,Raofeng,China
NHHYOQ4F,Chengjiang,China
DRUXGW43,Amio,Philippines
PQ0YG9V4,Qingzhou,China
GX6WFJ95,Gent,Belgium
ZTHGD5LU,Akriní,Greece
N9NZYB11,Op,Indonesia
RUJ5SAIT,Bolorejo,Indonesia
0ZVOL8PN,Pindaré Mirim,Brazil
SKYU84KI,Bolo,Philippines
42425USD,Torrão,Portugal
3M1RYXX2,Elbasan,Albania
0XP9L20S,Campo Quijano,Argentina
CRHTTHST,Palmar de Varela,Colombia
CCYG34JW,Peras Ruivas,Portugal
5ACW4W8R,Las Flores,Mexico
RHDENUJV,Hurghada,Egypt
TYB9FCTA,Poja,Indonesia
V76G3HVY,Gävle,Sweden
8D8FWJAV,Siedlce,Poland
8ST9UEY7,Jamundí,Colombia
DWQRM1DY,‘Aqrah,Iraq
T7DG33Y0,Rudnya,Russia
2H73RD3Z,Vinnytsya,Ukraine
1IF0CGMI,Bendo,Indonesia
0CYJ42KX,São Sebastião do Passé,Brazil
8V8ZZ2N7,Miyazu,Japan
E0XBX7Z4,Thaba Nchu,South Africa
4RMYR8RL,Saint-Augustin-de-Desmaures,Canada
3QX6RZPK,Tandahimba,Tanzania
SQKQ3G1M,Leixlip,Ireland
WXS26ZIH,Dobra,Poland
9RL7NNB4,Tía Juana,Venezuela
ULK74IB2,Shazi,China
0DJOITMO,Jongorsari,Indonesia
8TLII2KE,Bonga,Philippines
4ZQJQTMH,Tiztoutine,Morocco
U9K0NTGY,Menlou,China
MET4ZE01,Wolin,Poland
65QAVZYO,Springfield,United States
KQUS4HY3,Zhaogezhuang,China
1GEN8OWF,Salor,Uzbekistan
MYUPXWGX,Jinze,China
WY8EXM4P,Changqiao,China
51D5REY5,Bakulong,Philippines
K1R91DL5,Shangchewan,China
7N4RQY52,Mandi Bahāuddīn,Pakistan
8POH7H9Y,Las Yaras,Peru
IWJO7VPQ,Magway,Myanmar
99VJK0CV,Pandan,Philippines
2PFZ2FU6,Guocun,China
1J2MOOW2,Pasirpanjang,Indonesia
3258XA8Q,Jungkat Selatan,Indonesia
5NXK2W5V,New Orleans,United States
0O02JB3E,Groznyy,Russia
5JI5154V,Vernon,France
UVIGDYG4,Nuštar,Croatia
UO6NUL2H,Banjar Asahduren,Indonesia
GQ7S68P2,Arcos de Valdevez,Portugal
FE499NWF,Árgos,Greece
MDYGIUP5,Sibanicú,Cuba
WBT046YB,Mao’er,China
EEV1X0NO,Paine,Chile
A6F2DF8H,Prokhorovka,Russia
6J34K91M,Uusikaupunki,Finland
LZYYZVJC,Anren,China
B05S3XPB,Usogorsk,Russia
I7EOG2CS,Fengshuling,China
CXUQ7IX4,Xiaohenglong,China
MA4W0642,Liulihe,China
T1QVS6K6,Cashel,Ireland
3FFGZPP7,Santa María Ixhuatán,Guatemala
CLBKOLJO,Bagé,Brazil
10G1RPW1,Mörön,Mongolia
CEP1YJRM,Duang,Indonesia
HKXTGQT3,Lydenburg,South Africa
MKOEFAYZ,Xingshou,China
1K2V4X4W,Wuluo,China
JWTXMCAT,Zalaegerszeg,Hungary
SZVDYUX2,Laifang,China
MAY8HHGP,Kladovo,Serbia
DTFHCRYK,Bulacan,Philippines
ZGJYWHQO,Independence,United States
151GMOZH,Pagaruša,Kosovo
QLBENSMK,Ptghunk’,Armenia
07FYPFQ8,Capivari,Brazil
0JH6U5KL,Bajiao,China
40V4A8TF,Samanco,Peru
7YELYUNO,Evijärvi,Finland
KVLKQVP9,Currais Novos,Brazil
DS5YM4AO,Quimilí,Argentina
E40E4RUU,Aliwal North,South Africa
QE4NZXYO,Kenitra,Morocco
DD8T5HFT,Ambon,Indonesia
PB64GFOY,Beijiang,China
MI829YRA,Toulouse,France
D1YT632N,Ron Phibun,Thailand
Q0OKWDLY,Punta Gorda,Belize
HTAN8PSH,Luti,Indonesia
8XE57FKG,Seget,Indonesia
R32ZGYHU,Jinhua,China
TTCIKZTK,Brooklyn,New Zealand
5TP3EWWM,Odolanów,Poland
O1ZAWA3K,Axili,China
BWCYB12A,Otuke,Uganda
1GEU0LBC,Rukem,Indonesia
8V1SPLBS,Kut Chum,Thailand
W1GNQ78X,Vestmannaeyjar,Iceland
Z7KEAMMZ,Hema,China
VVJAEDY2,Ishigaki,Japan
ISJX9ZHJ,Aeteke,Indonesia
0AJB5QF9,Nālūt,Libya
QVSH54R7,Aqsū,Kazakhstan
MVMF8JXK,Bulakan,Indonesia
1FZKSRF1,Langtad,Philippines
T2TD2UM6,Lourido,Portugal
EB73DRHW,Horad Smalyavichy,Belarus
7ZZ7D5LK,Pancur,Indonesia
6H8F5SIP,Kotauneng,Indonesia
1XWOFHS2,Hobaramachi,Japan
O9YBTBXA,Strání,Czech Republic
S4VVWUFQ,Tashi,China
3Q06W74G,Calbuco,Chile
MBXUE83D,Béboto,Chad
RRO85IC8,Saint Louis,United States
G3B6MTY9,El Águila,Colombia
D9QIR6NI,Chiryū,Japan
2Q6P1P2Z,Gandara,Portugal
NOJYNAYA,Gadingrejo,Indonesia
1GPFX7Q0,San Juan Sacatepéquez,Guatemala
D9MICSIR,Kargowa,Poland
4S4D6BZ3,Mataloko,Indonesia
GGWICT17,Morinville,Canada
PIQVFE13,Krasne,Ukraine
HH8XPK0P,Zaña,Peru
NN9AUO4L,Chenzhouzhai,China
ST8ZJXCY,Heshi,China
M5A74KBC,Manglid,Indonesia
XVKD7TQT,Chirpan,Bulgaria
IRPXUYEA,Zapod,Albania
LSS6GVM4,Naval,Philippines
LZY6NADZ,Rennes,France
GMD6JN5K,Santa Rosa,Ecuador
LKC11Z82,Kota Ternate,Indonesia
C6Z41GJM,Mesiméri,Greece
HPNM5TEI,Baishuiyang,China
4PX2X251,Jamaica,United States
28NUIRDH,Loma Alta,Mexico
7XNDFZ6M,Skała,Poland
5EGD7RGN,Suwaduk,Indonesia
LXQE559B,Cocieri,Moldova
BF5W8OGW,Almaguer North,Philippines
HN9YONZK,Papakura,New Zealand
GVPF5EW5,Klagen,Indonesia
UPSOXNSP,Milíkov,Czech Republic
VC70P7DJ,Mengzhai,China
C5SFJBUB,Masinloc,Philippines
USH7M19D,Évora,Portugal
1QU5753D,Mutis,Colombia
T6CNCVUT,Svislach,Belarus
PONNCQ4R,Houping,China
P9EKUXTQ,Cumaná,Venezuela
MATZTDTW,Huangbu,China
U23PIDMD,Bang Saphan,Thailand
YXZ0FHKS,Aioi,Japan
84U5B6A8,Şaḩneh,Iran
HAF57ZSE,Wenling,China
QQUH4AD7,Nerk’in Getashen,Armenia
4A804UG8,Las Vegas,Venezuela
51TQP4P2,Caçador,Brazil
3NUNNMNL,Urrao,Colombia
GJF75L0P,Liangcunchang,China
YP5R6NR5,Lintingkou,China
UBVQ9WWP,Barlinek,Poland
04M97ORF,Bahuang,China
8DT3B0K1,Gros Morne,Haiti
VUULFE9Q,Xincheng,China
F20360WM,Gur’yevsk,Russia
ZG00N4QS,Xichang,China
J553521J,Berlín,El Salvador
XLREQELS,Daitou,China
B0H3BV1P,Zhamog,China
S4DVH15E,El Marañón,Honduras
XRVP31T1,Iktābah,Palestinian Territory
26673WLD,Fengpo,China
D9TZ5HEI,Tougan,Burkina Faso
9W0NUJZJ,Drakhtik,Armenia
FCHU405X,Panayagan,Indonesia
XMVL4QT7,Pantukan,Philippines
M663GWST,Lishan,China
OFQ5BKMM,Taghazout,Morocco
Y4QLEF2W,Janaúba,Brazil
WVM02I7J,Svetogorsk,Russia
2BIOBXMI,Fiorentino,San Marino
LQ3PWIA0,Wadusari,Indonesia
DRQ66CXA,Chancay,Peru
Y3USXJ1Z,Miaoquan,China
QY06CELU,Três Lagoas,Brazil
U7SH6HBP,Shatoja,Peru
SUET8SFH,Fontinha,Portugal
W8JGAI2K,Lolak,Indonesia
8V3MJZPK,Sitovo,Bulgaria
TE9UNZA0,Girihieum,Indonesia
VBSYC979,Birayang,Indonesia
ZBOR0KGH,Paris 06,France
KXHV8CQ2,Cerkvenjak,Slovenia
1HJJ0QI6,Otlja,Macedonia
427DWCU4,Sebuku,Indonesia
IHOFSMN0,Stuttgart Stuttgart-Mitte,Germany
U1J7T5FT,Tallahassee,United States
LK1S3UO3,Yurino,Russia
RLQ023OX,Ewarton,Jamaica
6DYQA82X,Ayrihuanca,Peru
XPUZWP3S,Sukomulyo,Indonesia
KP7G0IZ8,Rokycany,Czech Republic
W3UM5EPV,Shu,Kazakhstan
Q1XD6A9F,Sedinginan,Indonesia
NT3VTIJP,San Juan de la Maguana,Dominican Republic
X3HOT23P,Juupajoki,Finland
IRPYD7ET,Yarmolyntsi,Ukraine
BW9RGED6,Antwerpen,Belgium
96PJIU08,Al Balyanā,Egypt
M35GOTXR,Sombor,Serbia
X44BGYDM,Temuji,Indonesia
WJG3P5T0,Nanping,China
UAUDPTQ8,Haokou,China
OVR2IISO,Dhībīn,Syria
J9CZY8I9,Freixo de Numão,Portugal
SHIGGZB1,Karabudakhkent,Russia
H4E4IEDW,Beizhuang,China
23I0I7WE,Drohobych,Ukraine
V4LFDWNU,Boac,Philippines
SZL24FQT,Maracaibo,Venezuela
YCETWCR5,Reims,France
HPN5HGZO,Koga,Japan
DQ4A1SXN,Melaka,Malaysia
0RQR7RIT,Bucheon-si,South Korea
LQRBQDN4,Lembursawah,Indonesia
TL1IZXZ2,Stari Bohorodchany,Ukraine
2ECNIF3M,Gangsha,China
8U2RE2CM,Elói Mendes,Brazil
1SI1X3EN,Dzięgielów,Poland
HDC7FM6X,Zhangpu,China
IFETWCD8,Nanqiao,China
Z38D4NRH,Staryy Sambor,Ukraine
LN9T553C,Yangce,China
9L8C5ZR7,San José del Guaviare,Colombia
OUZWQTUY,Velké Bílovice,Czech Republic
CNYH9M1K,Aţ Ţawīlah,Yemen
XN81L09T,Gasa,Bhutan
VX82YC4P,"Palmas De Gran Canaria, Las"
XMGG977L,Olhos de Água,Portugal
FWVMO1PX,Molave,Philippines
5FCA8X19,Columbus,United States
Z7SX9SLQ,Niš,Serbia
Y1RKLY4E,Yashao,China
DQQOL4WG,Rochefort,France
HUDTJKB9,Daye,China
BU5W96UY,Oklahoma City,United States
GPOELI3K,Dagou,China
P63RCR26,Kato Pyrgos,Cyprus
6RYFRB6Z,Taoyuan,China
U7TL3RFQ,Sidenreng,Indonesia
AXSLRUP8,Kryevidh,Albania
8KZ68SM2,Dianya,China
BGKU2V1E,Atalaia,Portugal
O33HRBG9,Turośń Kościelna,Poland
682OL5KX,Jacksonville,United States
HVARMD3P,Bang Pa-in,Thailand
7RAZJCEX,Nagosela,Portugal
ME9Y2PF2,Berdorf,Luxembourg
GJNWFR5J,Aracaju,Brazil
82GI9D0H,Borås,Sweden
465HHNNB,El Paso,United States
NF0J9I1M,Chandler,United States
QJLMKXZK,Severskaya,Russia
8VZLLUMM,Lantapan,Philippines
SE1QVJ89,Guanqiao,China
XPVE0NEL,Balzar,Ecuador
HW20XRA1,Fauske,Norway
6VXVVF98,Mainz,Germany
7UYQRGK1,Torres,Brazil
XF0Y6G8R,Comagascas,Philippines
YOWPEJMM,Fangtang,China
UGET0ZGK,Zabrze,Poland
1HN15X5U,Moroto,Uganda
5N8QYBMR,Gizo,Solomon Islands
ILLI3IYB,Lagos,Nigeria
RWRUG8SP,Severnyy,Russia
CYSYRTEK,Kedungasem,Indonesia
G6KJL8R7,Mońki,Poland
R889I71H,Eskilstuna,Sweden
VTVSM6ST,Djibouti,Djibouti
ZNMCJEGE,Bolnisi,Georgia
2IYKPLJ6,Liloy,Philippines
I6UL17R7,Lubukalung,Indonesia
24LDDCCO,Malekān,Iran
1QU99ZZU,Dobroměřice,Czech Republic
TD4RZ5LB,Радовиш,Macedonia
XQ80ZKY8,Vagney,France
5OT33TGJ,Inawashiro,Japan
Y2LG9MDP,Beberon,Philippines
Y13GY9JH,Skórcz,Poland
J2SLZZ6L,Chicago,United States
TOTBGRIY,Robīt,Ethiopia
3R84DH1O,Yashiro,Japan
K8LFRS2N,Nogueira da Regedoura,Portugal
JJB6PADH,Kazimierz Dolny,Poland
VG8YXT72,Posadas,Argentina
UH2ECHBK,Naguilian,Philippines
23TR3HN2,Znomenka,Ukraine
3WH8OC6X,Jambesari,Indonesia
1R4LI51Z,Saint John’s,Antigua and Barbuda
NOPVLL6C,Đưc Trọng,Vietnam
RFAKSKVO,Lincha,Peru
BE7MC39F,Kawasaki,Japan
NO0FI8MB,Los Angeles,United States
G4J67FH6,Kitami,Japan
QQSHJSNX,Ystad,Sweden
RL6V8ISL,Shangfang,China
5VX4Q6JE,Ouro Sogui,Senegal
O3K5N90B,Eshowe,South Africa
I9Y0XKWM,Cruz das Almas,Brazil
N5927WGO,Lameira,Portugal
XH279V0A,Quinipot,Philippines
HINFFETA,Oni,Indonesia
NOFO98RO,Karangwungu Lor,Indonesia
DWU5SK1T,Alor Setar,Malaysia
V4M5NB9J,Radojevo,Serbia
JY65360H,Quimper,France
IKVQEP2A,Port-Vila,Vanuatu
WZJV332U,Zuocun,China
F0PGLDW4,Lomme,France
OFA225V3,Ponikiew,Poland
0JMRJ5KA,Beyla,Guinea
IOKYR8S8,Songkeng,China
625D1RBR,Wenwucao,China
5YJ10MKY,Zernograd,Russia
PJEZNPDD,Changlin,China
RO8QUO8R,Mumen,China
U35CD8NG,Glondong,Indonesia
HY40NXHW,Araçuaí,Brazil
LBHEAGSE,Jandaia do Sul,Brazil
9F98MMN4,Photharam,Thailand
XFXHSIDF,Longxi,China
6M51HDCP,Baghlān,Afghanistan
AJMA00FL,Novi Zagreb,Croatia
TXFXL1RE,Hatu Buh,China
CGSPVFPT,Queluz de Baixo,Portugal
85NBDAA5,Barajalan,Indonesia
RO901Y13,Čelinac,Bosnia and Herzegovina
I1DVQLJA,Yartsevo,Russia
ZHJR80YL,Sumurnanjung,Indonesia
ANB1NB47,Karjalohja,Finland
AB70268H,Tandel,Luxembourg
DI76FT35,Umuahia,Nigeria
11GY01ZV,Tegalsari,Indonesia
AO0LYPD9,Manoel Urbano,Brazil
74W5N318,Alabat,Philippines
PRI23FRB,Mugumu,Tanzania
XLYQ4I2K,Novo Selo,Bulgaria
OE8ZHG5L,Daxbet,Uzbekistan
1U75NBQJ,Māymay,Afghanistan
RBRZOGJ2,Ébolowa,Cameroon
2Y6SWJ4S,Sidi Qacem,Morocco
Y66OYMFF,Jiangkou,China
ZTGYBZKA,Suvorovskaya,Russia
727KR9GI,Mashi,Nigeria
9DH3QZMQ,Coishco,Peru
YR1GNEMW,Tigre,Argentina
7W7RZ7AF,Jalupang Dua,Indonesia
N1KTWF2R,Wujian,China
UA2MPWZM,Okiot,Philippines
HJ71D649,Salinggara,Indonesia
BRBSHVRU,Sim,Russia
C1CGTQAZ,Paungde,Myanmar
C84RS7E6,Wolanów,Poland
4ZZFSH39,Kudowa-Zdrój,Poland
6QGQNNV3,Särö,Sweden
D6XBZ3T8,Qiangqinxue,China
RSTJQFYR,Polepy,Czech Republic
KGEPNXZR,Olavarría,Argentina
8HKOLK0Q,Xin’an,China
6B0AOKQN,Kuala Lumpur,Malaysia
XUR038TG,Shimen,China
RQ50GIP4,Fenglin,China
VIVFY7ID,Jiji,China
ETK04EBD,Ampasimanolotra,Madagascar
83ZY01F6,Agua Buena,Panama
YXVWJ1AI,Shaozhai,China
K7XHAU5I,Viale,Argentina
PYK183EU,Baoshan,China
UTY4HH68,Mizoch,Ukraine
UC9NQWW8,Trollhättan,Sweden
3WN55H5I,Al Judayrah,Palestinian Territory
E2E6CSTM,Invercargill,New Zealand
RIM261UZ,Austin,United States
Y16T4YT7,Korsun’-Shevchenkivs’kyy,Ukraine
78375UUJ,Garunggang,Indonesia
P00PCL60,Novovolyns’k,Ukraine
F4RCJPKT,San Juan de Dios,Costa Rica
Y7BUW1OW,Rangxi,China
WI5497GU,Vynohradiv,Ukraine
KYBA1AY5,Néos Skopós,Greece
9ZAQ9J4L,Nong Muang Khai,Thailand
DJI4F941,Gorzyczki,Poland
OMB6SWEQ,Gręboszów,Poland
MYFM0WLS,Kotabaru,Indonesia
BTIETOSA,Sangoleng,Indonesia
GIH6QE0B,Namora,Peru
5QZD29FW,Shangzhuang,China
